Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
Mississippi State,I.J. Ready,15,SR,G,11-May,170,"Rixey, AR",Parkview Magnet HS,"7.8 Pts, 2.7 Reb, 4.5 Ast"
Mississippi State,L.J. Singleton,13,SO,G,5-Jun,194,"Decatur, GA",,"0.7 Pts, 0.6 Reb, 0.3 Ast"
Mississippi State,Xavian Stapleton,3,SO,G,6-Jun,190,"Flora, MS",Madison Central,"7.0 Pts, 2.9 Reb, 0.3 Ast"
Mississippi State,Joe Strugg,5,FR,F,9-Jun,192,"Montgomery, AL",George Washington Carver HS,"0.5 Pts, 0.5 Reb"
Mississippi State,Miles Washington,20,FR,C,7-Jun,202,"New Albany, MS",,0.3 Pts
Mississippi State,Quinndary Weatherspoon,11,SO,G,4-Jun,190,"Canton, MS",Velma Jackson HS,"16.5 Pts, 5.1 Reb, 1.8 Ast"
Mississippi State,Eli Wright,2,FR,G,4-Jun,203,"Owensboro, KY",,"3.5 Pts, 1.6 Reb, 0.2 Ast"
LSU,Antonio Blakeney,2,SO,G,4-Jun,186,"Sarasota, FL",Oak Ridge HS,"17.2 Pts, 4.8 Reb, 1.7 Ast"
LSU,Brian Bridgewater,20,SR,F,4-Jun,265,"Baton Rouge, LA",Scotlandville HS,"1.1 Pts, 0.8 Reb, 0.1 Ast"
LSU,Brandon Eddlestone,45,SR,F,8-Jun,245,"Slidell, LA",Northshore HS,"1.5 Pts, 2.2 Reb, 0.1 Ast"
LSU,Aaron Epps,21,JR,F,9-Jun,203,"Ball, LA",Tioga HS,"6.2 Pts, 4.4 Reb, 0.4 Ast"
LSU,Marshall Graves,12,FR,G,3-Jun,190,"Ponchatoula, LA",,"0.3 Pts, 0.3 Reb, 0.2 Ast"
LSU,Kieran Hayward,5,FR,G,4-Jun,195,,,"1.2 Pts, 1.1 Reb, 0.3 Ast"
LSU,Branden Jenkins,10,JR,G,4-Jun,180,"Maywood, IL",,"1.3 Pts, 0.6 Reb, 0.6 Ast"
LSU,Skylar Mays,4,FR,G,4-Jun,205,"Baton Rouge, LA",,"8.3 Pts, 2.2 Reb, 3.6 Ast"
LSU,Jalyn Patterson,11,JR,G,Jun-00,173,"Atlanta, GA",Monteverde Academy,"5.8 Pts, 3.0 Reb, 3.0 Ast"
LSU,Duop Reath,1,JR,F,10-Jun,235,"Perth, WA",,"12.0 Pts, 6.2 Reb, 0.8 Ast"
LSU,Elbert Robinson,3,JR,C,1-Jul,301,"Garland, TX",Lakeview Centennial HS,"2.1 Pts, 1.4 Reb, 0.3 Ast"
LSU,Brandon Sampson,0,SO,G,5-Jun,175,"Baton Rouge, LA",Madison Prep HS,"11.5 Pts, 3.1 Reb, 1.4 Ast"
LSU,Wayde Sims,44,FR,F,6-Jun,222,"Baton Rouge, LA",,"6.5 Pts, 3.8 Reb, 0.5 Ast"
LSU,Reed Vial,15,SO,G,3-Jun,190,"Baton Rouge, LA",,"0.2 Pts, 0.2 Reb"
LSU,Craig Victor,32,JR,F,7-Jun,205,"New Orleans, LA",Findlay Prep,"10.5 Pts, 7.6 Reb, 1.0 Ast"
Missouri,Jordan Barnett,21,JR,F,6-Jun,205,"St. Louis, MO",Christian Brothers College HS,"12.2 Pts, 5.7 Reb, 0.6 Ast"
Missouri,Jordan Geist,15,SO,G,2-Jun,180,"Fort Wayne, IN",,"7.0 Pts, 2.9 Reb, 2.0 Ast"
Missouri,Trevor Glassman,13,JR,G,3-Jun,200,"Bedford, NH",New Hampton Prep,"0.7 Reb, 0.1 Ast"
Missouri,Frankie Hughes,3,FR,G,4-Jun,192,"Cleveland, OH",,"7.6 Pts, 2.6 Reb, 1.2 Ast"
Missouri,Willie Jackson,2,FR,F,6-Jun,212,"Cleveland, OH",,"5.9 Pts, 4.6 Reb, 0.4 Ast"
Missouri,Jakoby Kemp,4,FR,F,9-Jun,215,"Layton, UT",,
Missouri,Reed Nikko,14,FR,F,10-Jun,250,"Maple Grove, MN",,"2.6 Pts, 2.3 Reb, 0.4 Ast"
Missouri,Terrence Phillips,1,SO,G,11-May,170,"Orange County, CA",Oak Hill (VA),"10.4 Pts, 3.7 Reb, 4.4 Ast"
Missouri,Kevin Puryear,24,SO,F,7-Jun,215,"Blue Springs, MO",South HS,"11.8 Pts, 6.0 Reb, 0.9 Ast"
Missouri,Brett Rau,10,JR,G,4-Jun,170,"Burlington, IL",,0.4 Reb
Missouri,Mitchell Smith,5,FR,F,10-Jun,210,"Van Buren, AR",,"2.4 Pts, 1.7 Reb, 0.2 Ast"
Missouri,Cullen VanLeer,33,SO,G,4-Jun,195,"Pacific, MO",Pacific HS,"5.6 Pts, 1.8 Reb, 1.3 Ast"
Missouri,K.J. Walton,11,SO,G,3-Jun,180,"Indianapolis, IN",Brownsburg HS,"6.7 Pts, 3.3 Reb, 1.0 Ast"
Missouri,Adam Wolf,32,SO,F,7-Jun,210,"Beaver Dam, WI",Beaver Dam HS,"0.2 Pts, 0.3 Reb"
Missouri,Russell Woods,25,SR,F,8-Jun,225,"Chicago, IL",Simeon Career Academy,"6.7 Pts, 4.3 Reb, 0.4 Ast"
Arizona,Rawle Alkins,1,FR,G,5-Jun,220,"Brooklyn, NY",,"10.9 Pts, 4.9 Reb, 2.1 Ast"
Arizona,Kadeem Allen,5,SR,G,3-Jun,180,"Wilmington, NC",Hutchinson CC,"9.8 Pts, 4.0 Reb, 3.0 Ast"
Arizona,Chance Comanche,21,SO,C,10-Jun,205,"Beverly Hills, CA",Beverly Hills HS,"6.3 Pts, 3.6 Reb, 0.4 Ast"
Arizona,Paulo Cruz,51,SO,G,4-Jun,195,"San Diego, CA",Francis Parker,0.4 Reb
Arizona,Talbott Denny,20,SR,F,5-Jun,215,"Tucson, AZ",Salpointe Catholic HS,
Arizona,Jake Desjardins,55,FR,F,6-Jun,215,"Henderson, NV",,"0.3 Pts, 0.2 Reb"
Arizona,Parker Jackson-Cartwright,0,JR,G,8-May,150,"Los Angeles, CA",Sierra Canyon HS,"5.9 Pts, 2.5 Reb, 4.1 Ast"
Arizona,Kory Jones,52,,G,3-Jun,170,,,0.8 Pts
Arizona,Lauri Markkanen,10,FR,F,Jul-00,230,"Jyvaskyla, Finland",,"15.6 Pts, 7.2 Reb, 0.9 Ast"
Arizona,Keanu Pinder,25,JR,F,9-Jun,220,"Perth, WA",,"2.2 Pts, 2.9 Reb, 0.3 Ast"
Arizona,Dusan Ristic,14,JR,C,Jul-00,240,"Novi Sad, Serbia",Sunrise Christian Academy,"10.9 Pts, 5.5 Reb, 0.4 Ast"
Arizona,Kobi Simmons,2,FR,G,5-Jun,175,"Atlanta, GA",,"8.8 Pts, 1.6 Reb, 2.0 Ast"
Arizona,Dylan Smith,3,SO,G,5-Jun,170,"Mobile, AL",Hoover HS,
Arizona,Ray Smith,24,FR,F,8-Jun,220,"Las Vegas, NV",Las Vegas HS,
Arizona,Allonzo Trier,35,SO,G,4-Jun,190,"Seattle, WA",Montrose Christian (MD) / Findlay Prep (NV),"17.2 Pts, 5.3 Reb, 2.7 Ast"
Arizona,Tyler Trillo,50,SO,G,11-May,170,"Southbury, CT",,0.5 Ast
Oregon,Jordan Bell,1,JR,F,7-Jun,190,"Long Beach, CA",Long Beach Poly HS,"10.9 Pts, 8.8 Reb, 1.8 Ast"
Oregon,Casey Benson,2,JR,G,3-Jun,175,"Tempe, AZ",Corona Del Sol HS,"4.9 Pts, 1.7 Reb, 1.9 Ast"
Oregon,Kavell Bigby-Williams,35,JR,F,11-Jun,230,,,"3.0 Pts, 2.8 Reb, 0.2 Ast"
Oregon,Chris Boucher,25,SR,F,10-Jun,200,"Quebec, Canada",Damase Boulanger (Quebec),"11.8 Pts, 6.1 Reb, 0.4 Ast"
Oregon,Dillon Brooks,24,JR,F,5-Jun,205,"Ontario, Canada",Findlay Prep,"16.1 Pts, 3.2 Reb, 2.7 Ast"
Oregon,M.J. Cage,4,FR,F,10-Jun,225,"Santa Ana, CA",,
Oregon,Tyler Dorsey,5,SO,G,4-Jun,180,"Los Angeles, CA",Maranatha HS,"14.6 Pts, 3.5 Reb, 1.7 Ast"
Oregon,Dylan Ennis,31,SR,G,2-Jun,192,"Ontario, Canada",Lake Forest Academy,"10.9 Pts, 4.4 Reb, 3.1 Ast"
Oregon,Evan Gross,,,G,10-May,165,,,"1.5 Pts, 0.5 Reb"
Oregon,Charlie Noebel,10,SR,G,2-Jun,178,"Irvine, CA",Mater Dei HS,"0.2 Pts, 0.3 Reb"
Oregon,Payton Pritchard,3,FR,G,2-Jun,200,"West Linn, OR",,"7.4 Pts, 3.4 Reb, 3.6 Ast"
Oregon,Keith Smith,11,FR,F,7-Jun,205,"Seattle, WA",,"1.9 Pts, 0.9 Reb, 0.6 Ast"
Oregon,Roman Sorkin,41,JR,F,10-Jun,225,"Ashdod, Israel",Hof HaSharon HS,"3.2 Pts, 1.9 Reb, 0.5 Ast"
Oregon,Paul White,13,JR,F,9-Jun,235,"Chicago, IL",Whitney Young HS,
UCLA,Bryce Alford,20,SR,G,3-Jun,180,"Albuquerque, NM",La Cueva HS,"15.5 Pts, 2.5 Reb, 2.6 Ast"
UCLA,Prince Ali,23,SO,G,3-Jun,190,"Bronx, NY",,
UCLA,Ike Anigbogu,13,FR,F,10-Jun,250,"Corona, CA",,"4.7 Pts, 4.0 Reb, 0.2 Ast"
UCLA,Lonzo Ball,2,FR,G,6-Jun,190,"Chino Hills, CA",,"14.6 Pts, 6.0 Reb, 7.6 Ast"
UCLA,Armani Dodson,5,FR,G,5-Jun,190,"Fontana, CA",,"2.0 Pts, 1.0 Reb"
UCLA,Gyorgy Goloman,14,JR,F,10-Jun,215,"Kormend, Hungary",The Sagemont School (FL),"3.7 Pts, 2.4 Reb, 0.7 Ast"
UCLA,Isaac Hamilton,10,SR,G,4-Jun,185,"Los Angeles, CA",St. John Bosco HS,"14.1 Pts, 3.6 Reb, 2.8 Ast"
UCLA,Aaron Holiday,3,SO,G,1-Jun,185,"Chatsworth, CA",Campbell Hall HS,"12.2 Pts, 2.9 Reb, 4.4 Ast"
UCLA,TJ Leaf,22,FR,F,10-Jun,225,"El Cajon, CA",,"16.3 Pts, 8.2 Reb, 2.4 Ast"
UCLA,Ikenna Okwarabizie,34,JR,C,9-Jun,250,"Lagos, Nigeria",East High School (IA),"0.2 Pts, 0.6 Reb"
UCLA,Alex Olesinski,0,SO,F,10-Jun,200,"Roswell, NM",,
UCLA,Jerrold Smith,15,SR,G,1-Jun,170,"Los Angeles, CA",St. Bernard's HS,"0.6 Pts, 0.1 Ast"
UCLA,Thomas Welsh,40,JR,C,Jul-00,245,"Redondo Beach, CA",Loyola HS,"10.8 Pts, 8.7 Reb, 1.0 Ast"
UCLA,Alec Wulff,21,JR,G,3-Jun,185,"Laguna Beach, CA",Laguna Beach HS,"0.5 Pts, 0.1 Reb, 0.1 Ast"
UCLA,Isaac Wulff,4,FR,G,3-Jun,175,"Laguna Beach, CA",,"1.0 Pts, 0.4 Reb"
Utah,Sedrick Barefield,2,SO,G,2-Jun,190,"Corona, CA",Centennial HS,"9.0 Pts, 1.8 Reb, 2.0 Ast"
Utah,Gabe Bealer,30,SR,G,6-Jun,180,"Antelope, CA",Antelope HS (CA),"3.6 Pts, 1.8 Reb, 0.5 Ast"
Utah,Lorenzo Bonam,15,SR,G,4-Jun,215,"Inkster, MI",Robichaud HS (MI),"12.5 Pts, 3.1 Reb, 3.1 Ast"
Utah,David Collette,13,JR,F,8-Jun,220,"Murray, UT",Murray,"13.6 Pts, 5.1 Reb, 1.0 Ast"
Utah,Jake Connor,10,SO,G,3-Jun,177,"Salt Lake City, UT",Highland HS,"1.8 Pts, 0.3 Reb, 0.4 Ast"
Utah,Devon Daniels,3,FR,G,5-Jun,190,"Battle Creek, MI",,"9.9 Pts, 4.6 Reb, 2.7 Ast"
Utah,Jayce Johnson,34,FR,F,Jul-00,235,"Mission Viejo, CA",,"4.0 Pts, 4.3 Reb, 0.1 Ast"
Utah,Jakub Jokl,43,FR,F,11-Jun,230,"Havl.-brod, Czech Republic",,"1.1 Pts, 1.2 Reb, 0.1 Ast"
Utah,Kyle Kuzma,35,JR,F,9-Jun,190,"Flint, MI",Rise Academy,"16.4 Pts, 9.3 Reb, 2.4 Ast"
Utah,Tyler Rawson,21,JR,F,9-Jun,215,"American Fork, UT",American Fork,"6.0 Pts, 3.7 Reb, 1.9 Ast"
Utah,Marc Reininger,40,FR,F,9-Jun,220,"Monument, CO",,"0.4 Pts, 0.4 Reb"
Utah,Beau Rydalch,20,FR,G,6-Jun,205,"Oakley, UT",,"0.4 Pts, 0.8 Reb, 0.1 Ast"
Utah,Chris Seeley,11,FR,F,8-Jun,215,"Fresno, CA",,
Utah,Parker Van Dyke,5,SO,G,3-Jun,185,"Salt Lake City, UT",,"4.6 Pts, 1.9 Reb, 1.3 Ast"
Utah,JoJo Zamora,1,JR,G,2-Jun,170,"Oakland, CA",,"6.9 Pts, 1.4 Reb, 1.1 Ast"
USC,Shaqquan Aaron,0,SO,G,7-Jun,170,"Seattle, WA",Ranier Beach,"7.6 Pts, 3.1 Reb, 1.1 Ast"
USC,Bennie Boatwright,25,SO,F,10-Jun,220,"Mission Hills, CA",Village Christian HS,"15.1 Pts, 4.5 Reb, 1.7 Ast"
USC,Charles Buggs,1,SR,F,9-Jun,210,"Arlington, TX",Hargrave Military Academy,"2.3 Pts, 1.8 Reb, 0.2 Ast"
USC,Samer Dhillon,13,SR,F,7-Jun,200,"Sacramento, CA",Inderkum HS,"0.4 Pts, 0.3 Reb"
USC,Devin Fleming,12,SO,G,2-Jun,180,,,0.5 Reb
USC,Harrison Henderson,3,FR,F,10-Jun,220,"Dallas, TX",,"1.3 Pts, 0.9 Reb, 0.2 Ast"
USC,Kurt Karis,21,JR,G,1-Jun,190,"Northbrook, IL",Glenbrook North,"0.5 Pts, 0.1 Reb"
USC,Jonah Mathews,2,FR,G,3-Jun,185,"Santa Monica, CA",,"7.0 Pts, 1.8 Reb, 1.1 Ast"
USC,Jordan McLaughlin,11,JR,G,1-Jun,170,"Etiwanda, CA",Etiwanda HS,"12.9 Pts, 3.6 Reb, 5.5 Ast"
USC,De'Anthony Melton,22,FR,G,4-Jun,190,"North Hollywood, CA",,"8.3 Pts, 4.7 Reb, 3.5 Ast"
USC,Chimezie Metu,4,SO,F,11-Jun,215,"Lawndale, CA",Lawndale HS,"14.8 Pts, 7.8 Reb, 1.4 Ast"
USC,Nick Rakocevic,31,FR,F,11-Jun,215,"Chicago, IL",,"5.2 Pts, 3.7 Reb, 0.4 Ast"
USC,Elijah Stewart,30,JR,G,5-Jun,180,"Deridder, LA",Westchester HS,"12.3 Pts, 3.9 Reb, 1.2 Ast"
USC,Derryck Thornton,5,SO,G,2-Jun,185,"Los Angeles, CA",,
California,Jabari Bird,23,SR,G,6-Jun,198,"Vallejo, CA",Salesian HS,"14.3 Pts, 4.7 Reb, 1.0 Ast"
California,Brandon Chauca,10,JR,G,8-May,160,"Alexandria, VA",22 Feet Academy,
California,Don Coleman,14,SO,G,3-Jun,192,"Augusta, GA",,"4.6 Pts, 1.5 Reb, 0.6 Ast"
California,Roman Davis,25,FR,F,7-Jun,190,"Carson, CA",Windward HS,"1.1 Pts, 0.8 Reb"
California,Stephen Domingo,31,SR,G,7-Jun,210,"San Francisco, CA",St. Ignatius,"2.4 Pts, 2.1 Reb, 0.6 Ast"
California,Nick Hamilton,21,JR,G,4-Jun,185,"Inglewood, CA",Westchester HS,"0.4 Pts, 0.4 Reb, 0.2 Ast"
California,Derek King,20,JR,G,3-Jun,200,"Shanghai, China",,
California,Koko Kurdoghlian,30,FR,G,2-Jun,182,"La Canada, CA",,0.2 Pts
California,Marcus Lee,15,SR,F,10-Jun,224,"Antioch, CA",Deer Valley HS,
California,Charlie Moore,13,FR,G,Jun-00,175,"Chicago, IL",,"12.2 Pts, 2.0 Reb, 3.5 Ast"
California,Roger Moute a Bidias,12,SR,F,6-Jun,207,"Yaounde, Cameroon",Notre Dame Prep (MA),"2.8 Pts, 1.8 Reb, 0.3 Ast"
California,Grant Mullins,3,SR,G,3-Jun,175,"Ontario, Canada",Notre Dame HS,"10.2 Pts, 3.2 Reb, 2.0 Ast"
California,Kingsley Okoroh,22,JR,C,1-Jul,254,"Derby, United Kingdom",Westwind Prep,"4.6 Pts, 5.5 Reb, 0.9 Ast"
California,Ivan Rabb,1,SO,F,11-Jun,220,"Oakland, CA",Bishop O'Dowd HS,"14.0 Pts, 10.5 Reb, 1.5 Ast"
California,Kameron Rooks,44,JR,C,Jul-00,261,"San Marcos, CA",Mission Hills HS,"4.9 Pts, 4.5 Reb, 0.3 Ast"
California,Sam Singer,2,SR,G,4-Jun,204,"Miami, FL",Ransom Everglades HS,"4.5 Pts, 2.9 Reb, 2.0 Ast"
California,Cole Welle,42,JR,F,7-Jun,204,"Aptos, CA",Aptos HS,"1.8 Pts, 1.6 Reb"
Colorado,Thomas Akyazili,0,SO,G,2-Jun,180,"Antwerp, Belgium",Koninklijk Atheneum Deurne HS,"1.7 Pts, 1.0 Reb, 1.3 Ast"
Colorado,Deleon Brown,5,FR,G,4-Jun,170,"Grand Rapids, MI",,"3.2 Pts, 0.7 Reb, 0.6 Ast"
Colorado,Dominique Collier,15,JR,G,2-Jun,170,"Denver, CO",Denver East HS,"6.0 Pts, 1.1 Reb, 1.6 Ast"
Colorado,Josh Fortune,44,SR,G,5-Jun,205,"Hampton, VA",Kecoughtan,"6.0 Pts, 3.0 Reb, 1.5 Ast"
Colorado,Wesley Gordon,1,SR,F,9-Jun,240,"Colorado Springs, CO",Sierra HS,"6.8 Pts, 6.3 Reb, 1.9 Ast"
Colorado,Xavier Johnson,11,SR,G,7-Jun,230,"Los Angeles, CA",Mater Dei HS,"14.8 Pts, 5.9 Reb, 1.0 Ast"
Colorado,George King,24,JR,G,6-Jun,220,"Fayetteville, NC",Brennan HS,"11.1 Pts, 6.8 Reb, 0.7 Ast"
Colorado,Mitch Lombard,12,SO,G,Jun-00,180,"Castle Pines, CO",Rock Canyon HS,"0.2 Reb, 0.3 Ast"
Colorado,Tory Miller,14,JR,F,9-Jun,255,"Kansas City, KS",New Hampton Prep (NH),"5.6 Pts, 4.0 Reb, 0.5 Ast"
Colorado,Bryce Peters,23,FR,G,4-Jun,195,"La Puente, CA",,"4.7 Pts, 1.4 Reb, 1.0 Ast"
Colorado,Josh Repine,33,JR,G,3-Jun,180,"Englewood, CO",New Hampton Prep (NH),
Colorado,Lucas Siewert,25,FR,F,10-Jun,221,"Santa Catarina, Brazil",,"2.7 Pts, 2.1 Reb, 0.5 Ast"
Colorado,Alexander Strating,10,FR,F,7-Jun,212,"Wassenaar, Netherlands",,
Colorado,Dallas Walton,35,FR,F,Jul-00,222,"Arvada, CO",,
Colorado,Derrick White,21,SR,G,5-Jun,193,"Parker, CO",,"18.1 Pts, 4.1 Reb, 4.4 Ast"
Colorado,Namon Wright,13,JR,G,5-Jun,195,"Los Angeles, CA",Pacific Hills HS,
Arizona State,Andre Adams,12,SO,F,9-May,180,"Avondale, AZ",Angelo State,"1.4 Pts, 1.3 Reb, 0.1 Ast"
Arizona State,Sam Cunliffe,3,FR,G,6-Jun,200,"Seattle, WA",,"9.5 Pts, 4.8 Reb, 1.4 Ast"
Arizona State,Shannon Evans,11,JR,G,1-Jun,170,"Suffolk, VA",Nansemond River,"15.0 Pts, 3.3 Reb, 4.4 Ast"
Arizona State,Grant Fogerty,24,,G,11-May,165,,,
Arizona State,Torian Graham,4,SR,G,4-Jun,200,"Durham, NC",,"18.6 Pts, 4.2 Reb, 1.2 Ast"
Arizona State,Tra Holder,0,JR,G,1-Jun,165,"Los Angeles, CA",Brentwood,"16.2 Pts, 3.7 Reb, 3.2 Ast"
Arizona State,Romaine Jackson,25,,G,8-May,165,,,0.2 Reb
Arizona State,Kodi Justice,44,JR,G,3-Jun,160,"Mesa, AZ",Dobson HS,"9.2 Pts, 2.8 Reb, 2.4 Ast"
Arizona State,Mickey Mitchell,3,,F,7-Jun,232,,Plano West HS,
Arizona State,Maurice O'Field,1,JR,G,5-Jun,210,"Cleveland, OH",John Jay HS (OH),"0.8 Pts, 0.6 Reb, 0.4 Ast"
Arizona State,Chris Odionu,34,,G,4-Jun,210,,,
Arizona State,Obinna Oleka,5,SR,F,7-Jun,225,"Washington, DC",Florida Christian Institute,"12.5 Pts, 9.9 Reb, 1.2 Ast"
Arizona State,Vitaliy Shibel,13,FR,F,9-Jun,210,"Kiev, Ukraine",,
Arizona State,Jethro Tshisumpa,42,FR,F,10-Jun,260,,,"1.0 Pts, 1.5 Reb"
Arizona State,Ramon Vila,33,FR,F,8-Jun,230,"Barcelona, Spain",,"2.6 Pts, 2.0 Reb, 0.1 Ast"
Arizona State,Romello White,23,FR,F,8-Jun,220,"Suwanee, GA",,
Arizona State,Austin Witherill,22,JR,G,Jun-00,160,"Gilbert, AZ",Highland HS,"0.1 Pts, 0.1 Reb, 0.1 Ast"
Stanford,Malcolm Allen,3,JR,G,1-Jun,175,"Las Vegas, NV",Centennial HS,"1.9 Pts, 0.8 Reb, 0.8 Ast"
Stanford,Marcus Allen,15,SR,G,3-Jun,190,"Las Vegas, NV",Centennial HS,"8.1 Pts, 2.3 Reb, 1.8 Ast"
Stanford,Robert Cartwright,2,SO,G,2-Jun,165,"Pasadena, CA",Flintridge Prepatory,"6.7 Pts, 1.8 Reb, 3.5 Ast"
Stanford,Andrew Ekmark,4,FR,G,2-Jun,170,"Paradise Valley, AZ",,
Stanford,Josh Hanson,12,JR,G,1-Jun,175,"Houston, TX",,
Stanford,Rodney Herenton,0,FR,G,1-Jun,155,"Chicago, IL",,0.4 Pts
Stanford,Michael Humphrey,10,JR,F,9-Jun,215,"Phoenix, AZ",Sunnyslope HS,"9.4 Pts, 6.2 Reb, 0.9 Ast"
Stanford,Blake Pagon,13,FR,G,4-Jun,190,"Haymarket, VA",,"0.4 Pts, 0.4 Reb"
Stanford,Dorian Pickens,11,JR,G,5-Jun,210,"Phoenix, AZ",Pinnacle HS,"12.6 Pts, 3.5 Reb, 1.2 Ast"
Stanford,Kodye Pugh,5,FR,F,8-Jun,205,"Baltimore, MD",,
Stanford,Christian Sanders,1,SR,G,4-Jun,185,"Houston, TX",St. Thomas HS,"3.0 Pts, 1.9 Reb, 3.3 Ast"
Stanford,Josh Sharma,20,SO,C,Jul-00,210,"Lexington, MA",Northfield Mt. Hermon HS,"3.3 Pts, 2.9 Reb, 0.1 Ast"
Stanford,Marcus Sheffield,14,SO,G,5-Jun,180,"Alpharetta, GA",Chattahoochee HS,"6.7 Pts, 1.5 Reb, 1.5 Ast"
Stanford,Trevor Stanback,33,FR,F,11-Jun,220,"Pasadena, CA",,"0.6 Pts, 0.7 Reb, 0.4 Ast"
Stanford,Reid Travis,22,JR,F,8-Jun,240,"Minneapolis, MN",DeLaSalle HS,"17.4 Pts, 8.9 Reb, 0.5 Ast"
Stanford,Grant Verhoeven,30,SR,C,9-Jun,245,"Hanford, CA",Central Valley Christian HS,"3.8 Pts, 2.4 Reb, 0.2 Ast"
Stanford,Cameron Walker,21,SO,F,7-Jun,200,"Santa Maria, CA",Righetti HS,"1.4 Pts, 1.8 Reb, 0.2 Ast"
Washington State,Milan Acquaah,5,FR,G,3-Jun,185,"Bakersfield, CA",,
Washington State,Charles Callison,23,SR,G,Jun-00,180,"Moreno Valley, CA",,"9.7 Pts, 1.7 Reb, 2.2 Ast"
Washington State,Arinze Chidom,25,FR,F,9-Jun,200,"Oakland, CA",,
Washington State,Conor Clifford,42,SR,C,Jul-00,270,"Huntington Beach, CA",,"9.4 Pts, 2.7 Reb, 0.9 Ast"
Washington State,Viont'e Daniels,4,SO,G,3-Jun,170,"Federal Way, WA",Federal Way,"2.9 Pts, 1.2 Reb, 1.3 Ast"
Washington State,Jamar Ergas,1,FR,G,3-Jun,182,"Ontario, Canada",,
Washington State,Malachi Flynn,22,FR,G,1-Jun,170,"Tacoma, WA",,"9.7 Pts, 2.9 Reb, 2.9 Ast"
Washington State,Robert Franks,3,SO,F,7-Jun,175,"Vancouver, WA",Evergreen HS,"6.3 Pts, 3.3 Reb, 0.8 Ast"
Washington State,Josh Hawkinson,24,SR,F,10-Jun,245,"Shoreline, WA",Shorewood HS,"15.5 Pts, 10.2 Reb, 2.5 Ast"
Washington State,Ike Iroegbu,2,SR,G,2-Jun,190,"Sacramento, CA",Oak Hill Academy,"12.6 Pts, 4.2 Reb, 3.6 Ast"
Washington State,Derrien King,0,JR,F,7-Jun,175,"Wichita, KS",,"6.6 Pts, 4.3 Reb, 0.8 Ast"
Washington State,KJ Langston,10,SO,G,4-Jun,185,"Chicago, IL",,"1.6 Pts, 0.6 Reb, 0.3 Ast"
Washington State,Jeff Pollard,13,FR,F,9-Jun,240,"Bountiful, UT",,"1.8 Pts, 1.8 Reb, 0.2 Ast"
Washington State,Steven Shpreyregin,12,JR,G,1-Jun,180,"Seattle, WA",,"0.7 Pts, 0.4 Reb, 0.1 Ast"
Washington,Matthew Atewe,41,JR,F,8-Jun,230,"Ontario, Canada",Notre Dame Prep,"2.2 Pts, 2.3 Reb, 0.1 Ast"
Washington,Quin Barnard,5,FR,G,Jun-00,175,"Bellevue, WA",,"0.7 Pts, 0.1 Reb, 0.2 Ast"
Washington,Bitumba Baruti,0,FR,G,6-Jun,210,,,"0.6 Pts, 0.4 Reb, 0.1 Ast"
Washington,Greg Bowman,32,JR,F,5-Jun,200,"Mountlake Terrace, WA",Mountlake Terrace,"1.1 Pts, 1.0 Reb, 0.1 Ast"
Washington,David Crisp,1,SO,G,Jun-00,185,"Tacoma, WA",,"13.8 Pts, 3.2 Reb, 3.1 Ast"
Washington,Noah Dickerson,15,SO,F,8-Jun,225,"Atlanta, GA",Montverde Academy (FL),"12.5 Pts, 8.2 Reb, 0.8 Ast"
Washington,Malik Dime,10,SR,F,9-Jun,220,"Dakar, Senegal",New Hope Christian Academy (NC),"5.5 Pts, 5.5 Reb, 0.8 Ast"
Washington,Devenir Duruisseau,24,SO,F,8-Jun,240,"Palmdale, CA",,"0.4 Pts, 0.9 Reb, 0.1 Ast"
Washington,Markelle Fultz,20,FR,G,4-Jun,195,"Upper Marlboro, MD",,"23.2 Pts, 5.7 Reb, 5.9 Ast"
Washington,Dominic Green,22,SO,F,6-Jun,185,"Renton, WA",Hazen HS,"5.5 Pts, 2.1 Reb, 0.7 Ast"
Washington,Carlos Johnson,23,FR,G,4-Jun,235,"Centralia, IL",,"5.9 Pts, 3.0 Reb, 0.7 Ast"
Washington,Dan Kingma,2,JR,G,10-May,155,"Mill Creek, WA",Jackson HS,"0.8 Pts, 0.5 Reb, 0.5 Ast"
Washington,Matisse Thybulle,4,SO,F,5-Jun,190,"Issaquah, WA",Eastside Catholic HS,"10.5 Pts, 3.1 Reb, 1.8 Ast"
Washington,Sam Timmins,33,FR,F,10-Jun,275,"Dunedin, New Zealand",,"3.2 Pts, 3.8 Reb, 0.3 Ast"
Oregon State,Matt Dahlen,14,JR,F,6-Jun,200,"Redmond, OR",Redmond,"1.5 Pts, 1.9 Reb, 0.6 Ast"
Oregon State,Keondre Dew,13,JR,F,8-Jun,210,"San Bernardino, CA",Elev8 Sports Institute,"2.0 Pts, 3.2 Reb, 0.7 Ast"
Oregon State,Drew Eubanks,12,SO,F,10-Jun,240,"Troutdale, OR",Reynolds HS,"14.5 Pts, 8.3 Reb, 1.2 Ast"
Oregon State,Ben Kone,34,FR,F,8-Jun,235,"San Jose, CA",,"2.9 Pts, 2.7 Reb, 0.2 Ast"
Oregon State,Kendal Manuel,24,FR,G,4-Jun,180,"Billings, MT",Skyview HS,"7.8 Pts, 2.4 Reb, 1.6 Ast"
